      hora_programada  hora_salida  hora_estimada
85          10.750000    10.866667      10.996566
86          15.833333    16.366667      16.080748
87          15.000000    14.633333      14.990697
88          15.666667    15.966667      16.167477
89          14.416667    12.416667      14.359018
90          15.416667    15.400000      15.213868
91           8.500000     8.750000       8.483449
92          18.250000    18.466667      18.177435
93           1.500000     1.766667       2.328387
94          19.500000    19.700000      19.284619
95          18.000000    18.200000      18.033105
96          11.750000    11.833333      11.954677
97           8.500000     8.616667       8.626390
98          23.333333    23.483333      22.643834
99           1.250000     1.066667       1.771988
100          9.833333     9.733333       9.880121
101         10.166667    10.316667      11.048715
102         10.500000    10.400000      10.623360
103         15.316667    15.566667      15.360318
104         13.666667    13.733333      13.897772
105         10.083333    10.233333      10.388437
106          5.000000     5.300000       5.136654
107          9.916667    10.050000      10.043810
108         15.000000    15.233333      15.096352
109          8.500000     8.616667       8.659885
110         16.666667    16.666667      16.685928
111         13.416667    13.716667      14.141428
112         13.666667    13.466667      13.751013
113         14.000000    14.050000      14.424922
114          9.666667     9.683333       9.629492
115         14.083333    14.250000      14.348263
116         10.083333    10.183333      10.160286
117          8.500000     8.416667       7.855256
118         12.833333    13.566667      13.275431
119          9.583333     9.700000       9.257934
120         20.000000    19.983333      19.752196
121          9.916667    10.083333       9.974092
122          7.166667     7.100000       7.044482
123          7.166667     7.583333       7.572594
124         12.000000    12.250000      12.059201
125         15.583333    15.833333      17.042858
126          9.583333     9.633333       9.558352
127         23.250000    23.250000      22.298641
128          9.833333     9.733333       9.788595
129         19.666667    19.733333      19.644748
130          9.833333     9.950000       9.959596
131         22.000000    22.466667      22.032557
132         10.416667    10.750000      10.774886
133         14.500000    14.700000      14.483852
134         10.000000    10.200000      11.370903
135         16.500000    16.633333      16.478653
136         15.416667    15.333333      15.431157
137          8.583333     8.750000       9.157709
138         21.583333    21.666667      21.535628
139         12.500000    12.733333      12.575057
140         11.850000    11.850000      13.468531
141         16.916667    17.216667      16.985541
142         11.583333    11.650000      11.836114
143         10.416667    10.716667       9.959565
144          6.833333     6.916667       7.131989
145         18.583333    18.500000      18.726262
146          7.166667     7.333333       7.604238
147         15.000000    15.850000      15.241587
148          9.500000     9.716667       9.874411
149         10.500000    11.916667      11.162720
150         15.583333    15.866667      15.542951
151          8.500000     8.683333       8.965367
152         15.666667    15.833333      15.727638
153         18.083333    18.216667      17.825483
154          9.000000     9.150000       9.319514
155         15.583333    15.583333      15.585717
156         19.500000    19.583333      19.478589
157         17.750000    17.866667      17.734315
158         10.000000    10.250000      10.282037
159          9.916667    10.066667       9.912790
160         20.500000    20.666667      20.274471
161         17.166667    17.133333      17.207769
162          1.750000     1.650000       2.899175
163         13.500000    13.366667      13.596845
164          8.416667     8.466667       8.839728
165         15.333333    15.616667      15.386048
166         20.666667    20.750000      20.567166
167          8.000000     8.933333       8.258294
168          8.583333     7.950000       8.520167
169         18.250000    18.183333      17.945340
170         14.800000    15.316667      15.029730
171         10.250000    10.633333      11.063193
172         12.750000    13.750000      12.374956
173         23.250000    23.333333      23.148175
174          7.750000     7.816667       7.832376
175          9.666667     9.816667       9.713026
176         10.250000    10.250000      10.159671
177         13.583333    13.766667      13.899097
178         13.416667    13.550000      13.555529
179         11.250000    11.766667      11.535185
180         18.500000    19.183333      18.068270
181          6.000000     6.700000       8.121533
182          6.666667     6.816667       6.571341
183          2.466667     3.166667       2.705084
184         18.250000    18.333333      18.311136
185          9.000000     9.383333       9.305370
186         15.500000    15.833333      15.581410
187         13.583333    13.533333      13.465618
188         11.250000    11.300000      11.152778
189         12.083333    12.266667      12.826197
190         15.000000    15.283333      15.184137
191         18.000000    18.083333      17.795492
192         11.583333    11.683333      11.576917
193          8.333333     8.483333       8.719714
194         18.750000    18.666667      18.640349
195          9.016667     9.350000      10.025188
196         10.583333    11.633333      10.691552
197         15.666667    15.800000      15.895036
198          5.000000     5.233333       5.185407
199         12.583333    12.733333      12.711094
200         17.983333    18.033333      17.936336
201         12.250000    12.600000      12.483133
202         10.000000     9.966667      10.040983
203         10.250000    10.250000      10.325440
204         15.833333    15.900000      15.563706
